,NI: Not indicated,,,Forage resources (description of level of resources provided where indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia pulcherrima,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from May to June and/or April to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia heterophylia,No,Annual/perennial herb,Yes (Abundant),Yes (Abundant),Flowering from May to Dec and/or  March to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia tirucalli,Yes,Perennial shrub or tree,Yes (Poor to good source),Yes (Poor),"Flowering from October to November, September to April and/or throughout the year",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Cephalocroton mollis,Yes,Perennial shrublet ,Yes (Medium),Yes (Medium), Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia decussata,Yes,Perennial shrub or small tree,Yes (Poor),Yes (Medium),Flowering  from July to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia esculenta,Yes,Perennial shrub or small tree,Yes (Poor),Yes (Medium),Flowering  from March to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia rectirama,Yes,Perennial shrub or small tree,Yes (Poor),Yes (Medium),Flowering from October to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia schinzii,Yes,Perennial shrub or small tree,Yes (Medium) ,Yes (Medium),Flowering  from August to September and June to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia bussei,Yes,Perennial shrub or small tree,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia scheffleri,Yes,Perennial shrub or small tree,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia splendens,Yes,Perennial shrub or small tree,Yes (Poor),Yes (Medium),Flowering  from January to December ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Alchornea cordifolia,Yes,Perennial shrub or small tree,Yes (Abundant) ,NI,Flowering during the rainy season,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Alchornea laxiflora,Yes,Perennial shrub or small tree,Yes (Abundant) ,NI,Flowering during the dry season,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Croton moluccanus,No,Perennial shrub or small tree,Yes (Abundant) ,Yes (Abundant),Flowering during the rainy season,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Jatropha curcas,No,Perennial shrub or small tree,Yes (Abundant) ,Yes (Abundant) ,Flowering  from March to July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Acalypha fruticosa ,Yes,Perennial shrub or small tree,NI,NI,Flowering  from March to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Croton pseudopulchellus ,Yes,NI,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Neobutonia macrocalyx,Yes,Perennial tree,Yes (Abundant) ,Yes (Abundant) ,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Macaranga neomildbraediana,Yes,Perennial tree,Yes (Abundant) ,Yes (Abundant) ,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Sapium ellipticum,Yes,abundant bee plant in ethiopia,Yes (Abundant),Yes (Abundant),Flowering  from October to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia hirta,No,provide nectar and pollen in Kenya,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia abyssinica,Yes,Perennial shrub or more often a tree,Yes (Poor),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia candelabrum,Yes,Perennial shrub or more often a tree,Yes (Poor),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Shirakiopsis elliptica,Yes,Perennial shrub or more often a tree,Yes (Poor),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Bridelia micrantha,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Securinega virosa,Yes,Perennial shrub or tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbiaceae,Euphorbia pulcherima,No,Perennial shrub,Uncertain source,Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Acanthus eminens,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering  all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Acanthus ueleensis,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering almost throughout the year,Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Asystasia gangetica,No,Perennial Herb,Yes (Abundant),Yes (Abundant),"Flowering from July to March and February to August, Rwanda",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Acanthus sennii,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering almost throughout the year,Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Barleria ventricosa,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering almost throughout the year,Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Barleria eranthemoides,Yes,Perennial sub-shrub,NI,Yes (Abundant),Flowering from November to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Dicliptera maeulata,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering mostly from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Blepharis madaraspatensis,Yes,Perennial sub-shrub,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Brillantaisia madagascariensis,Yes,Perennial Sub-Shrub or shrub,Yes (Abundant),Yes (Abundant),Flowering from July to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Brillantaisia kirungae,Yes,Perennial herb,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Hygrophila auriculata,Yes,Perennial sub-shrub,Yes (medium),Yes (Abundant),Flowering from June to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Hypoestes forskaolii,Yes,Perennial herb or subshrub,Yes (Abundant),Yes (Abundant),Flowering almost throughout the year ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Isoglossa laxa,Yes,Annual or perennial herb,Yes (Abundant),Yes (Abundant),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Hypoestes triflora,Yes,Annual or perennial herb,Yes (Abundant),Yes (Abundant),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Isoglossa somalensis,Yes,Annual or perrenial herb,Yes (Abundant),Yes (Abundant),Flowering from September to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Isoglossa eliasbandae,Yes,Perennial herb,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia diclipteroides,Yes,Perennial or subshrub,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justitia ladanoides,Yes,Perennial or annual herb,Yes (Abundant),Yes (Abundant),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Justicia debile,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Phaulopsis imbricata,Yes,A pubescent annual or short-lived perennial,Yes (Abundant),Yes (Abundant),"Flowering almost all year round, but more profusely from October to January",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Ruttya speciosa,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from October to December,"Birds, Carpenter bees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Acanthus pubescens,Yes,Perennial herb or shrub,Yes (Medium),Yes (Abundant), Flowering from February to August,Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Hgyrophila schulli,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from August to march,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Brillantaisia ulugurica,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering  from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Brillantaisia cicatricosa,Yes,Perennial shrub or small tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Avicennia marina,Yes,Perennial tree,Yes (Medium),Yes (Abundant),Flowering  from October to Febraury and September to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Ruspolia hypocrateriformis,Yes,Perennial shrub,No (do not provide pollen),Yes (Medium),Flowering from December to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Thunbergia grandiflora,No,Perennial shrub,Yes (Poor),Yes (Medium),Flowering from January to December ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Barleria obtusa,Yes,Perennial  shrub ,Yes (Poor),Yes (Medium),Flowering from January to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Dicliptera eenii,Yes,Perennial herb,Yes (but uncertain),Yes (Medium),Flowering  from March to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthaceae,Hypoestes aristata,Yes,Perennial herb,Yes (Medium),Yes (Abundant),Flowering  from January to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
